Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,random_state,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Medium,Random Projection,10,5,43,0.7129284017645062,0.7208690748656784,0.7022771760808117,0.7026354255699667,0.9155499086957498,0.09404858300695196
Medium,Baseline,561,5,43020,0.8849677638276213,0.8878746795020461,0.8803640010498608,0.8817009199620763,0.9718943828427333,0.1813126250053756
Medium,PCA,20,5,43,0.8601968103155752,0.8637154672521871,0.855993620397194,0.8573210772512988,0.9702291288172735,0.08084895898355171
Medium,Random Projection,20,5,43,0.7729894808279606,0.7893201498888347,0.7635425671499836,0.7650783124608492,0.942721257644508,0.045516458980273455
Medium,Baseline,561,5,43050,0.8754665761791652,0.8812036034094395,0.8699549342750283,0.8716233027353182,0.9688601974714208,0.18497850000858307
Medium,PCA,50,5,43,0.8876823888700374,0.8897843247294892,0.883106530716241,0.8843520151007089,0.9774973526299294,0.10709449998103082
Medium,Random Projection,50,5,43,0.8435697319307771,0.8543923090239435,0.8369967977600012,0.8390432253669527,0.9687898094115357,0.05714995798189193
Medium,Baseline,561,5,43100,0.8863250763488293,0.8898776031974033,0.8818619166266707,0.8831811776820434,0.9704979797949099,0.18466033297590911
Medium,PCA,100,5,43,0.8978622327790974,0.9008460064541167,0.8933548171790039,0.8947232334479933,0.9792863603907151,0.20967637602007017
Medium,Random Projection,100,5,43,0.8839497794367153,0.888933180673858,0.8797360478674651,0.8814639872817178,0.9772601369299622,0.07571554300375283
Medium,Baseline,561,5,43200,0.8771632168306752,0.880268807232845,0.8724000645541397,0.8736970207364276,0.9688796587969404,0.19836883299285546
Medium,PCA,200,5,43,0.9032914828639295,0.9082451420547984,0.8985610932577912,0.9001662023792759,0.9801859035763377,0.12470366695197299
Medium,Random Projection,200,5,43,0.8866644044791313,0.8899478796996528,0.8825842505460266,0.8841136993574351,0.9778149441676268,0.10598300001583993
Medium,Baseline,561,5,43500,0.8690193417034272,0.8728025159226621,0.8635496662676333,0.8647293922240925,0.9694633508417496,0.2052823330159299
Medium,PCA,500,5,43,0.9015948422124194,0.906660077355102,0.8968124014482727,0.8985210973000696,0.9799100556536308,0.3195019999984652
Medium,Random Projection,500,5,43,0.8931116389548693,0.8961740243774582,0.8887176071502757,0.8901544283882642,0.9799502946803379,0.18252183397999033
Large,Baseline,784,5,43002,0.8434,0.8467660528210509,0.8433999999999999,0.8433490024668563,0.9583125555555558,6.087621999962721
Large,PCA,2,5,43,0.5058,0.50326483839864,0.5058,0.5003066161034706,0.8521153666666667,0.27844245795859024
Large,Random Projection,2,5,43,0.1941,0.195198319596315,0.19410000000000002,0.19047822462591596,0.6042743222222222,0.13608491700142622
Large,Baseline,784,5,43005,0.8453,0.8480974355231122,0.8452999999999999,0.8449912738812246,0.9585789111111109,5.59411570802331
Large,PCA,5,5,43,0.7481,0.7455583306327229,0.7481,0.7452932900709355,0.9324499222222222,0.3702765420312062
Large,Random Projection,5,5,43,0.4631,0.45412706837572864,0.4631,0.4531691856171601,0.7992903444444445,0.25064229196868837
Large,Baseline,784,5,43010,0.8436,0.8461565747263229,0.8436,0.8430012303507931,0.9575714666666666,4.719853708986193
Large,PCA,10,5,43,0.8157,0.8147307073173135,0.8157,0.8144201408006928,0.955487538888889,0.5284833750338294
Large,Random Projection,10,5,43,0.6964,0.6937617565228037,0.6964,0.6911512870946133,0.9142377555555555,1.0570799160050228
Large,Baseline,784,5,43020,0.8434,0.8468059247049572,0.8433999999999999,0.8433640912549321,0.9585587611111113,5.3920099579845555
Large,PCA,20,5,43,0.8475,0.8473706457100529,0.8474999999999999,0.8465281969814586,0.9665746777777777,0.6845889579853974
Large,Random Projection,20,5,43,0.789,0.7902251148816694,0.789,0.7863987976393203,0.9483553722222222,0.5312856659875251
Large,Baseline,784,5,43050,0.8487,0.8512499084277056,0.8487,0.8481068985175864,0.9597432222222222,5.325146707997192
Large,PCA,50,5,43,0.8622,0.8624056722429907,0.8622,0.8609997130876911,0.9714063611111111,0.8076558749889955
Large,Random Projection,50,5,43,0.8306,0.8347282828181191,0.8306000000000001,0.8293156824880239,0.961954061111111,0.5874742089654319
Large,Baseline,784,5,43100,0.8436,0.846360256405695,0.8436,0.8433161910383229,0.9574344111111112,5.109211082977708
Large,PCA,100,5,43,0.8678,0.8683394021263258,0.8677999999999999,0.8668170246998732,0.9726346722222221,1.4192002910422161
Large,Random Projection,100,5,43,0.8494,0.8525582111308749,0.8493999999999999,0.8483802525628608,0.9658251666666665,0.9281135829514824
Large,Baseline,784,5,43200,0.8398,0.8434977599094584,0.8398,0.8399855750203109,0.956945761111111,4.787709875032306
Large,PCA,200,5,43,0.8679,0.8689552437124103,0.8679,0.8670058378532843,0.9724172555555555,1.5951189170591533
Large,Random Projection,200,5,43,0.856,0.858888984373303,0.8560000000000001,0.8552206316516517,0.9681861833333333,1.4413209579652175
Large,Baseline,784,5,43500,0.8435,0.8461353353412772,0.8435,0.8432471543286472,0.9585232055555556,4.70044595899526
