Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Explained Variance,Time Taken (seconds)
Medium,Baseline,561,6,10,42002,0.455755085259575,0.5842556779696725,0.14532120620473768,,,,0.4973529580165632
Medium,PCA,2,6,10,42,0.2551397805629852,0.43034449943002945,0.4493382699533819,,,0.6746746270487901,0.07043908402556553
Medium,Random Projection,2,6,10,42,0.2525556037994528,0.3593545843649253,0.3424590261211028,,,,0.13070708303712308
Medium,Baseline,561,6,10,42005,0.4549249500915282,0.5832664512032797,0.14529277283322126,,,,0.66126904101111
Medium,PCA,5,6,10,42,0.4618043707726334,0.5861828574122869,0.37234219194475027,,,0.751587462654516,0.08053020905936137
Medium,Random Projection,5,6,10,42,0.34740575999040235,0.46296908939023124,0.21511323581784403,,,,0.06590724899433553
Medium,Baseline,561,6,10,42010,0.454831385509881,0.5832384825706508,0.14448806009274962,,,,0.5832679999875836
Medium,PCA,10,6,10,42,0.4580181295713951,0.5849511805608744,0.2806843477273512,,,0.8050387180555126,0.08032616699347273
Medium,Random Projection,10,6,10,42,0.4190434318479978,0.5411158161796796,0.17599332829175485,,,,0.060506417066790164
Medium,Baseline,561,6,10,42020,0.45696281616209333,0.5846540893103624,0.14585187702142619,,,,0.6291575420182198
Medium,PCA,20,6,10,42,0.45391006081541513,0.5822949934401811,0.22143822610313574,,,0.8578471115500221,0.0767060419311747
Medium,Random Projection,20,6,10,42,0.475727798164999,0.5861170336281054,0.15421570541197593,,,,0.06288454099558294
Medium,Baseline,561,6,10,42050,0.4570613264665961,0.5846892635127484,0.1466720642197722,,,,0.6380596670205705
Medium,PCA,50,6,10,42,0.45580831351112866,0.5842977634660079,0.17349757920315514,,,0.9308630670765421,0.10428462503477931
Medium,Random Projection,50,6,10,42,0.4792911736863982,0.5921040687706415,0.13950211114156522,,,,0.1000635419622995
Medium,Baseline,561,6,10,42100,0.4565508215343194,0.5843704113603883,0.14578832978786488,,,,0.8276314589893445
Medium,PCA,100,6,10,42,0.45582940033398656,0.5842545247223596,0.15447515934437955,,,0.9730111912684988,0.2215703739784658
Medium,Random Projection,100,6,10,42,0.4399556057148062,0.5700609513358016,0.15264504724490136,,,,0.15138141706120223
Medium,Baseline,561,6,10,42200,0.4549249500915282,0.5832664512032797,0.14529277283322126,,,,1.3399186250171624
Medium,PCA,200,6,10,42,0.4547563333306509,0.5831943152684248,0.14588154034399903,,,0.9953591250019421,0.327278665965423
Medium,Random Projection,200,6,10,42,0.4504213512337313,0.5795189068615797,0.15441307841696253,,,,0.21987858298234642
Medium,Baseline,561,6,10,42500,0.45577616451560005,0.5843823852429515,0.14464120634863434,,,,1.0397848749998957
Medium,PCA,500,6,10,42,0.4564989402003851,0.5842935666697832,0.14657234429198834,,,0.9999999999999994,0.7170868740067817
Medium,Random Projection,500,6,10,42,0.45212772105013377,0.5846414675586922,0.1458149704596222,,,,0.8734712910372764
Large,Baseline,784,10,10,42002,0.3493056924781105,0.5128296369412215,0.15462173827058207,,,,14.880063250020612
Large,PCA,2,10,10,42,0.26201107235865645,0.41802986736955255,0.3958677920279712,,,0.46739021811509207,0.6167974579730071
Large,Random Projection,2,10,10,42,0.10357325367993984,0.19007330236842998,0.32882299404879306,,,,0.2267300839885138
Large,Baseline,784,10,10,42005,0.3493660068868045,0.5128146360247712,0.15467281522219295,,,,13.01638525002636
Large,PCA,5,10,10,42,0.33538161344233847,0.4873110168504241,0.31605517489322144,,,0.6157128177289273,0.4635193739668466
Large,Random Projection,5,10,10,42,0.18308079863728588,0.2816888013622963,0.17677938614290836,,,,0.3971707909950055
Large,Baseline,784,10,10,42010,0.34860002924368816,0.5124959660746818,0.15440281245616885,,,,12.016063083021436
Large,PCA,10,10,10,42,0.348039335080428,0.5105993692762396,0.29285087774054613,,,0.7195458980888265,0.9663703339756466
Large,Random Projection,10,10,10,42,0.2390085641877215,0.36864572400639123,0.15489144741951577,,,,0.440137124969624
Large,Baseline,784,10,10,42020,0.3871947344070584,0.5311005994092494,0.1513453259001294,,,,13.777344957983587
Large,PCA,20,10,10,42,0.38663910077974883,0.5301921475782645,0.24041408936165748,,,0.7848278490948407,0.602055375056807
Large,Random Projection,20,10,10,42,0.2753997842698833,0.4090632840746334,0.14382929058656865,,,,0.40510212496155873
Large,Baseline,784,10,10,42050,0.34858074618235363,0.5124850882563813,0.15440405669959578,,,,11.144143000012264
Large,PCA,50,10,10,42,0.34887219985653584,0.5127327940233141,0.20119115595562836,,,0.8625453344035788,0.8675634160172194
Large,Random Projection,50,10,10,42,0.3153217019651511,0.47011593705951754,0.15167730505457117,,,,0.8570181669783778
Large,Baseline,784,10,10,42100,0.34936482621902837,0.5128523430291035,0.15468147940853344,,,,15.65541733300779
