Dataset,Method,Dimensions,K-Nearest Neighbors Neighbors,random_state,Accuracy,Precision,Recall,F1 Score,ROC AUC Score,Time Taken (seconds)
Medium,PCA,400,5,,0.9015948422124194,0.906660077355102,0.8968124014482727,0.8985210973000696,0.9799371042298253,0.24621383397607133
Small,Baseline,536,5,,0.8260869565217391,0.8666666666666667,0.7647058823529411,0.8125,0.8554621848739496,0.07616425002925098
Large,Baseline,784,5,,0.8589,0.8613943216647832,0.8589,0.8580386825779728,0.9699947333333334,4.9319316250039265
