Dataset,Method,Dimensions,K-Means Clusters,n_init,random_state,Adjusted Rand Index (ARI),Normalized Mutual Information (NMI),Silhouette Score (SS),SS Sample Size,SS Random State,Explained Variance,Time Taken (seconds)
Small,PCA,100,2,10,42,0.08382358157292033,0.07498355813710124,0.05506255770197627,,,,0.06443508400116116
Small,PCA,2,2,10,42,0.0432072155718407,0.03587590435716508,0.32541912009913143,,,,0.04574200004572049
Large,Baseline,784,10,10,42,0.3749822708889217,0.5131249724620707,0.15193187515825707,1000,42,,8.301940333971288
Small,PCA,20,2,10,42,0.20896316331958595,0.16038819846155575,0.06381900602539152,,,,0.1156951260054484
Small,Random Projection,2,2,10,42,0.004836505936194203,0.006678945841950189,0.33363181297912514,,,,0.024437583051621914
